customer_id,first_name,last_name,email,region,signup_date,customer_segment
C00001,Olivia,Jones,customer00001@example.com,South,2024-02-11,Consumer
C00002,Liam,Kelly,customer00002@example.com,Central,2024-06-21,Small Business
C00003,Ethan,Martin,customer00003@example.com,West,2022-12-31,Consumer
C00004,Mia,Hall,customer00004@example.com,West,2022-06-12,Small Business
C00005,Mia,Murphy,customer00005@example.com,North,2024-12-07,Consumer
C00006,James,Clark,customer00006@example.com,North,2023-05-26,Small Business
C00007,Olivia,Clark,customer00007@example.com,North,2025-09-14,Consumer
C00008,Emily,Wilson,customer00008@example.com,Central,2022-04-26,Consumer
C00009,Noah,Johnson,customer00009@example.com,West,2024-07-29,Enterprise
C00010,Oscar,Martin,customer00010@example.com,West,2022-12-03,Consumer
C00011,Grace,Davies,customer00011@example.com,North,2024-05-30,Consumer
C00012,Emma,Young,customer00012@example.com,Central,2024-01-07,Consumer
C00013,Liam,Walker,customer00013@example.com,Central,2024-04-19,Consumer
C00014,Noah,Thomas,customer00014@example.com,South,2022-05-27,Consumer
C00015,Lucas,Thomas,customer00015@example.com,North,2025-09-08,Consumer
C00016,Mia,Johnson,customer00016@example.com,North,2023-03-19,Consumer
C00017,Leo,Wilson,customer00017@example.com,South,2024-04-16,Consumer
C00018,Amelia,Lewis,customer00018@example.com,East,2024-11-02,Small Business
C00019,Liam,Jones,customer00019@example.com,East,2024-07-31,Consumer
C00020,Emily,Young,customer00020@example.com,South,2022-10-14,Consumer
C00021,Lucas,Clark,customer00021@example.com,West,2023-12-21,Small Business
C00022,Emily,Clark,customer00022@example.com,North,2025-02-11,Consumer
C00023,Grace,Young,customer00023@example.com,South,2023-04-25,Consumer
C00024,Mia,Hall,customer00024@example.com,South,2022-01-22,Consumer
C00025,Jack,Wilson,customer00025@example.com,East,2025-10-04,Consumer
C00026,Oscar,Martin,customer00026@example.com,West,2023-11-14,Consumer
C00027,Ethan,Thomas,customer00027@example.com,North,2024-06-24,Consumer
C00028,Liam,Roberts,customer00028@example.com,East,2022-11-16,Consumer
C00029,Ava,Evans,customer00029@example.com,West,2022-05-06,Consumer
C00030,Grace,Murphy,customer00030@example.com,North,2022-10-04,Consumer
C00031,Daniel,Taylor,customer00031@example.com,West,2025-05-12,Consumer
C00032,Ethan,Lewis,customer00032@example.com,North,2022-07-13,Consumer
C00033,James,Kelly,customer00033@example.com,North,2023-11-27,Small Business
C00034,Lucas,Taylor,customer00034@example.com,Central,2025-08-02,Consumer
C00035,Daniel,Young,customer00035@example.com,Central,2022-02-26,Consumer
C00036,Olivia,Evans,customer00036@example.com,Central,2025-08-19,Consumer
C00037,Noah,Jones,customer00037@example.com,South,2025-04-01,Consumer
C00038,Henry,Roberts,customer00038@example.com,North,2022-01-19,Consumer
C00039,Olivia,Martin,customer00039@example.com,West,2025-10-25,Consumer
C00040,Isla,King,customer00040@example.com,East,2022-09-21,Small Business
C00041,Isla,King,customer00041@example.com,North,2024-03-04,Consumer
C00042,Amelia,Jones,customer00042@example.com,East,2022-04-23,Enterprise
C00043,Ethan,Taylor,customer00043@example.com,North,2025-09-12,Consumer
C00044,Emma,Evans,customer00044@example.com,Central,2023-06-26,Consumer
C00045,Jack,Allen,customer00045@example.com,South,2023-10-09,Consumer
C00046,Emily,Young,customer00046@example.com,West,2023-08-02,Consumer
C00047,Olivia,Evans,customer00047@example.com,South,2024-12-24,Consumer
C00048,Henry,Walker,customer00048@example.com,East,2025-08-08,Consumer
C00049,Noah,Evans,customer00049@example.com,East,2022-01-25,Consumer
C00050,Emily,Murphy,customer00050@example.com,North,2022-01-01,Enterprise
C00051,Sophia,Johnson,customer00051@example.com,Central,2024-06-29,Small Business
C00052,Amelia,Smith,customer00052@example.com,West,2022-05-21,Consumer
C00053,Isla,Evans,customer00053@example.com,Central,2023-10-10,Consumer
C00054,Oscar,Evans,customer00054@example.com,Central,2022-07-07,Consumer
C00055,Lucas,Brown,customer00055@example.com,West,2025-02-25,Consumer
C00056,Noah,Walker,customer00056@example.com,Central,2022-07-20,Consumer
C00057,Emma,Thomas,customer00057@example.com,North,2025-02-24,Consumer
C00058,Mia,King,customer00058@example.com,North,2022-09-14,Consumer
C00059,Sophia,Evans,customer00059@example.com,North,2023-07-01,Consumer
C00060,Noah,Martin,customer00060@example.com,South,2022-07-13,Enterprise
C00061,Mia,Thomas,customer00061@example.com,South,2023-12-04,Small Business
C00062,Olivia,Young,customer00062@example.com,South,2025-02-01,Enterprise
C00063,Henry,Murphy,customer00063@example.com,Central,2025-07-12,Consumer
C00064,Ethan,Johnson,customer00064@example.com,South,2024-03-12,Consumer
C00065,Jack,Martin,customer00065@example.com,South,2024-07-30,Consumer
C00066,Isla,Lewis,customer00066@example.com,East,2025-07-07,Consumer
C00067,Ava,Young,customer00067@example.com,North,2023-02-18,Consumer
C00068,Isla,Kelly,customer00068@example.com,Central,2025-10-13,Small Business
C00069,Isla,Johnson,customer00069@example.com,North,2025-01-03,Consumer
C00070,Lucas,Roberts,customer00070@example.com,Central,2025-10-10,Consumer
C00071,Ethan,Kelly,customer00071@example.com,West,2024-06-28,Consumer
C00072,Noah,Hall,customer00072@example.com,North,2022-07-07,Consumer
C00073,Amelia,Walker,customer00073@example.com,North,2025-08-06,Consumer
C00074,Ava,Lewis,customer00074@example.com,Central,2022-02-14,Consumer
C00075,Emily,Brown,customer00075@example.com,West,2022-03-24,Consumer
C00076,Mia,Walker,customer00076@example.com,West,2025-02-20,Consumer
C00077,Ava,Murphy,customer00077@example.com,West,2022-12-24,Enterprise
C00078,Jack,Evans,customer00078@example.com,North,2024-12-25,Consumer
C00079,Henry,Kelly,customer00079@example.com,South,2024-07-24,Small Business
C00080,Ethan,Murphy,customer00080@example.com,North,2023-01-10,Consumer
C00081,Emily,Clark,customer00081@example.com,Central,2022-06-11,Consumer
C00082,Mia,Jones,customer00082@example.com,West,2025-10-13,Consumer
C00083,Daniel,Allen,customer00083@example.com,South,2025-04-26,Consumer
C00084,Emma,Thomas,customer00084@example.com,North,2022-11-18,Consumer
C00085,Mia,Wilson,customer00085@example.com,South,2023-03-26,Small Business
C00086,Emma,Smith,customer00086@example.com,South,2024-11-02,Small Business
C00087,Daniel,Roberts,customer00087@example.com,West,2022-07-03,Consumer
C00088,Henry,Young,customer00088@example.com,West,2022-04-21,Consumer
C00089,Ethan,Allen,customer00089@example.com,Central,2023-05-23,Enterprise
C00090,Noah,Allen,customer00090@example.com,East,2025-08-06,Consumer
C00091,Lucas,Clark,customer00091@example.com,North,2022-10-22,Consumer
C00092,Oscar,Johnson,customer00092@example.com,West,2024-06-22,Consumer
C00093,Daniel,Wilson,customer00093@example.com,West,2025-05-23,Small Business
C00094,Lucas,Evans,customer00094@example.com,East,2024-08-31,Enterprise
C00095,Ella,Murphy,customer00095@example.com,West,2023-09-24,Consumer
C00096,Henry,Thomas,customer00096@example.com,East,2024-11-16,Small Business
C00097,Jack,Martin,customer00097@example.com,East,2024-01-03,Small Business
C00098,James,Allen,customer00098@example.com,East,2025-06-08,Consumer
C00099,Ethan,Thomas,customer00099@example.com,North,2022-11-17,Consumer
C00100,James,Walker,customer00100@example.com,North,2024-07-01,Consumer
C00101,Mia,Young,customer00101@example.com,North,2025-06-10,Enterprise
C00102,Emily,Murphy,customer00102@example.com,West,2023-03-13,Consumer
C00103,Emily,Roberts,customer00103@example.com,South,2024-02-20,Small Business
C00104,Ethan,Walker,customer00104@example.com,East,2024-12-12,Consumer
C00105,Oscar,Walker,customer00105@example.com,Central,2025-08-29,Small Business
C00106,Grace,Lewis,customer00106@example.com,South,2025-07-28,Consumer
C00107,Oscar,Davies,customer00107@example.com,East,2023-12-27,Consumer
C00108,Henry,Kelly,customer00108@example.com,West,2022-01-31,Small Business
C00109,Isla,Davies,customer00109@example.com,South,2022-12-03,Small Business
C00110,Mia,Wilson,customer00110@example.com,North,2022-07-02,Small Business
C00111,James,Young,customer00111@example.com,South,2024-11-12,Consumer
C00112,Leo,Walker,customer00112@example.com,North,2023-06-28,Small Business
C00113,Ella,Davies,customer00113@example.com,Central,2025-01-02,Consumer
C00114,Noah,Young,customer00114@example.com,Central,2024-10-30,Consumer
C00115,Emma,Jones,customer00115@example.com,West,2023-10-22,Consumer
C00116,Olivia,Hall,customer00116@example.com,Central,2022-06-09,Consumer
C00117,James,Jones,customer00117@example.com,Central,2024-11-03,Consumer
C00118,Ava,Taylor,customer00118@example.com,North,2025-04-16,Enterprise
C00119,Grace,Jones,customer00119@example.com,Central,2023-02-16,Consumer
C00120,Amelia,Smith,customer00120@example.com,East,2024-10-08,Small Business
C00121,Noah,Clark,customer00121@example.com,Central,2022-02-22,Consumer
C00122,Henry,Wilson,customer00122@example.com,Central,2023-02-12,Consumer
C00123,Henry,Thomas,customer00123@example.com,South,2024-04-26,Consumer
C00124,Amelia,Taylor,customer00124@example.com,North,2024-11-11,Enterprise
C00125,Jack,Wilson,customer00125@example.com,South,2024-11-19,Small Business
C00126,Leo,Smith,customer00126@example.com,East,2023-12-04,Small Business
C00127,Ethan,Evans,customer00127@example.com,Central,2022-09-17,Enterprise
C00128,Emily,Hall,customer00128@example.com,Central,2025-05-13,Consumer
C00129,Liam,Lewis,customer00129@example.com,North,2024-12-18,Consumer
C00130,Olivia,Kelly,customer00130@example.com,East,2024-02-15,Small Business
C00131,Emily,Jones,customer00131@example.com,East,2024-11-01,Consumer
C00132,Ethan,King,customer00132@example.com,South,2025-08-06,Consumer
C00133,Daniel,King,customer00133@example.com,North,2024-04-29,Consumer
C00134,Olivia,Walker,customer00134@example.com,South,2022-12-20,Consumer
C00135,Sophia,Walker,customer00135@example.com,Central,2025-01-03,Consumer
C00136,Grace,Smith,customer00136@example.com,South,2024-05-22,Consumer
C00137,Ava,Smith,customer00137@example.com,East,2024-09-17,Consumer
C00138,Jack,Young,customer00138@example.com,West,2025-06-18,Consumer
C00139,Liam,Young,customer00139@example.com,South,2024-10-14,Consumer
